repository_full_name,Contributors,Stars,created_date,description,language,Commit,Size,archived,accessible
ferraric/CloudCoveragePrediction,2.0,2.0,2020-02-19T00:54:15Z,,Python,129.0,631.0,False,True
unimauro/Courses,2.0,5.0,2021-03-09T15:01:22Z,This is the repository for the AAAI 2021 paper: Learning Branching Heuristic for Propositional Model Counting (https://www.aaai.org/AAAI21Papers/AAAI-10022.VaezipoorP.pdf),Python,271.0,375203.0,False,True
dmatrix/misc-code,4.0,3.0,2020-06-09T17:07:15Z,Basic Neptune module,HCL,424.0,113.0,False,True
juanjo3ns/mineRL,2.0,293.0,2017-08-22T13:55:27Z,Learning to create Machine Learning Algorithms,Python,170.0,11362.0,False,True
ludwig-ai/ludwig,2.0,32.0,2021-05-10T03:58:00Z,"Code for the paper ""UnNatural Language Inference"" to appear at ACL 2021 (Long Paper)",Python,3410.0,3525.0,False,True
ludwig-ai/ludwig,2.0,32.0,2021-05-10T03:58:00Z,"Code for the paper ""UnNatural Language Inference"" to appear at ACL 2021 (Long Paper)",Python,3410.0,3525.0,False,True
sky660099/mopeye,2.0,35.0,2020-04-11T20:21:50Z,Generates handwritten pages from given input text!,Python,22394.0,47989.0,False,True
garyd203/flying-circus,2.0,565.0,2019-12-31T12:25:05Z,A one-stop repository for low-code easily-installable object detection pipelines.,Jupyter Notebook,494.0,267138.0,False,True
garyd203/flying-circus,2.0,565.0,2019-12-31T12:25:05Z,A one-stop repository for low-code easily-installable object detection pipelines.,Jupyter Notebook,494.0,267138.0,False,True
jamesborg46/robust_rewards_from_preferences,30.0,2.0,2019-11-27T21:13:14Z,Neural network classifier for Raman spectral data using TensorFlow,Python,112.0,114350.0,False,True
splicemachine/ml-workflow,30.0,103.0,2019-05-14T01:33:11Z,"D-VAE: A Variational Autoencoder for Directed Acyclic Graphs, NeurIPS 2019",Python,562.0,13661.0,True,True
Piyushak/yolov5,30.0,19.0,2018-09-26T04:51:10Z,Recalling node properties from a knowledge graph,Python,1434.0,93.0,False,True
zzsza/TIL,21.0,3.0,2021-10-05T07:16:51Z,StyleGAN BigGAN for Motorbike Generation,Python,237.0,596.0,False,True
tensorflow/profiler,2.0,3.0,2020-06-06T15:41:19Z,sgnn reproduce,Python,467.0,4963.0,False,True
tensorflow/profiler,2.0,3.0,2020-06-06T15:41:19Z,sgnn reproduce,Python,467.0,4963.0,False,True
coldenheart/123,2.0,4.0,2019-10-15T10:44:29Z,This is a repository designed to be my portable workstation. I can use it on a CPU or GPU machine and is meant for development and training. It contains docker files for environment setup and links to other repositories that can be downloaded inside.,Jupyter Notebook,4078.0,119397.0,False,True
skylooop/CYLo_cards-Detection,2.0,312.0,2018-04-17T16:05:02Z,Optical music recognition in TensorFlow,Python,2566.0,3050.0,False,True
Boilevin/AzuritBer,30.0,10.0,2020-02-24T02:01:00Z,,Python,161.0,131733.0,False,True
florpi/GaHaCo,2.0,18.0,2022-03-30T03:14:38Z," On Uncertainty, Tempering, and Data Augmentation in Bayesian Classification",Jupyter Notebook,155.0,23743.0,False,True
eracah/supervise-thyself,30.0,345.0,2020-02-10T18:51:59Z,The TensorFlow Cloud repository provides APIs that will allow to easily go from debugging and training your Keras and TensorFlow code in a local environment to distributed training in the cloud.,Python,245.0,1855.0,False,True
TNPKpenguin/Pig,2.0,2.0,2017-10-31T03:35:44Z,"This project used a combination of an N-Gram tagger, a Bayesian classifier, and a decision tree to determine the correct pronunciation of heteronyms (words that are spelled the same but pronounced differently, i.e. ""lead"") for text-to-speech implementations.",Python,2329.0,40975.0,,False
sendilk/ml-class,3.0,603.0,2022-03-11T13:26:35Z,Monocular Depth Estimation Toolbox based on MMSegmentation.,Python,293.0,6492.0,False,True
FordyceLab/tessellate,12.0,2.0,2017-12-15T06:17:48Z,『Python機械学習プログラミング』サンプルコード,Jupyter Notebook,208.0,158036.0,False,True
PB12203006/Largedata,3.0,114.0,2019-08-09T13:14:51Z,Code implementation of Data Efficient Stagewise Knowledge Distillation paper.,Jupyter Notebook,104.0,136996.0,False,True
deepcam-cn/yolov5-face,30.0,2.0,2021-05-28T19:52:11Z,"Apuração automatizada de sobrepreço em compras públicas (orçamentos, contratos e atas de registro de preços). Módulo ML.",Jupyter Notebook,131.0,74109.0,False,True
deepcam-cn/yolov5-face,30.0,2.0,2021-05-28T19:52:11Z,"Apuração automatizada de sobrepreço em compras públicas (orçamentos, contratos e atas de registro de preços). Módulo ML.",Jupyter Notebook,131.0,74109.0,False,True
ederchy/Databrick-MLOPS-git-integration,2.0,15.0,2019-08-22T22:15:43Z,Humble microlibrary / command line tool for summarizing data within Weights and Biases across runs.,Python,694.0,17.0,False,True
CSID-DGU/2022-2-SCS4031-9to6,3.0,3.0,2016-01-25T11:42:43Z,Python code for analysing Brains (electrophysiology stuff),Python,1172.0,2371.0,False,True
microns-ariadne/runet_code,3.0,13.0,2020-09-22T18:59:23Z,,Python,178.0,864.0,False,True
eqasim-org/california,2.0,6.0,2020-04-19T14:12:23Z,handwritten text recognition with mxnet and gluon. Thanks to https://pythonawesome.com/handwritten-text-recognition-ocr-with-mxnet-gluon/,Jupyter Notebook,6044.0,123450.0,False,True
thanhtonvk/AIPlatfrom,30.0,2.0,2020-12-13T00:38:44Z,"Paper, code, data, and supplementary material for our paper ""On the Softmax Bottleneck of Recurrent Language Models"", which got accepted at the main track of AAAI 2021.",Python,21986.0,16661.0,False,True
mesakh123/imagepredict,5.0,2.0,2020-06-01T08:12:40Z,信用违约风险判断 xgboost,Python,738.0,9.0,False,True
Shivanshu-Gupta/raytune-comet-examples,5.0,2.0,2020-12-01T13:36:07Z,Test repo for github actions workflows,Python,203.0,104976.0,False,True
Aminullah6264/Activity_Rec_ML-LSTM,4.0,11.0,2021-11-30T00:35:18Z,,Jupyter Notebook,831.0,4772.0,False,True
Manjunatha1997/python_programs,2.0,3.0,2021-01-16T15:37:28Z,"Python web app built using Flask, Keras, and Tensorflow to predict the outcome of any given NBA game. Built for HTNE 2021.",Python,909.0,640.0,False,True
utisetur/russian_superglue_task,2.0,4.0,2021-01-05T10:29:57Z,,Jupyter Notebook,9050.0,49017.0,False,True
kyper999/Theano,30.0,250.0,2017-03-08T12:52:10Z,"Code for the ""Grammar Variational Autoencoder"" https://arxiv.org/abs/1703.01925",Python,163.0,129267.0,False,True
wararaki718/scrapbox,3.0,4.0,2021-06-07T21:07:15Z,,Python,2831.0,1685.0,False,True
LinirZamir/YOLOv5-VisualInspection,5.0,4.0,2015-10-21T04:47:28Z,,Python,2329.0,42512.0,False,True
T-Sumida/mlflow_example,6.0,17.0,2017-12-01T03:49:08Z,Vietnamese Sentiment Analysis,Python,163.0,998259.0,False,True
Brindha-m/Leafine,3.0,4.0,2022-06-09T06:56:46Z,,Python,188.0,23015.0,False,True
kazukiyo17/AIProject,4.0,3.0,2022-08-23T16:36:36Z,,Python,1218.0,28523.0,False,True
defaultobject/sdem,2.0,2.0,2022-04-10T04:11:07Z,,Python,562.0,5.0,False,True
dianingty-tkp/shopee_ndsc,30.0,13.0,2018-10-20T21:24:57Z,https://beta.mxnet.io/,R,3439.0,70475.0,False,True
GoGoGodeep/Bone-age-detection-based-on-YOLOv5-and-ResNet,4.0,13.0,2020-02-09T04:36:36Z,Experiment management with Hydra and MLflow,Python,401.0,7.0,,False
airqo-platform/calibration,4.0,2.0,2022-03-14T10:32:49Z,"Implementation of the work ""Closing the Loop: A Framework for Trustworthy Machine Learning in Power Systems"" submitted to IREP 2022",Python,4723.0,12283.0,,False
9harshit/Breast-Cancer-Detect-Using-ANN,30.0,5.0,2022-02-06T11:47:56Z,TFLEX: Temporal Feature-Logic Embedding Framework for Complex Reasoning over Temporal Knowledge Graph,Python,1599.0,30216.0,False,True
synbioks/Text-Mining-NLP,2.0,6.0,2019-09-19T18:25:12Z,Simple example showing how to integrate Ray parallelization with the Sacred experiment framework,Python,334.0,61.0,False,True
Pamikk/rev-seg-mia,4.0,24811.0,2016-10-25T19:38:30Z,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a toolkit of libraries (Ray AIR) for accelerating ML workloads.,Python,605.0,288400.0,False,True
AshwinBalaji52/Personality-Detection-using-Handwriting,30.0,33.0,2018-09-27T22:49:27Z,A toolbox for worst-case validation of autonomous policies,Python,816.0,82803.0,False,True
AnujMahajanOxf/MAVEN,2.0,3.0,2022-03-02T01:43:35Z,"code for ""FLEX: Feature-Logic Embedding Framework for CompleX Knowledge Graph Reasoning""",Python,772.0,8873.0,False,True
Nikii1118/CS5590-Python-DL-Session2,2.0,13.0,2019-06-10T07:44:36Z,Indonesian word embedding evaluation,Python,132.0,16.0,False,True
wahyu-adi-n/garbage-mlflow-tracking,30.0,2.0,2019-05-17T07:49:09Z,Contribute to ChinaMM 2019,Python,187.0,63978.0,False,True
MoeinSorkhei/MoCo,30.0,2.0,2019-10-02T18:48:13Z,,Jupyter Notebook,271.0,23975.0,False,True
Erlemar/wheat,2.0,2.0,2019-11-11T18:35:53Z,Companion repo to DeepForest for training large models from DeepForest python package.,Python,147.0,28091.0,False,True
mlco2/codecarbon,3.0,5.0,2018-07-23T15:19:19Z,,Jupyter Notebook,148.0,455576.0,False,True
faqih-ar/Game-Retail,4.0,2.0,2022-04-05T05:15:55Z,,Python,602.0,15490.0,False,True
gufengxiaoyuehan/mlflow_kubernetes,4.0,3.0,2022-12-16T00:23:05Z,Open source contributions for integrations with comet_ml,Python,106.0,39.0,False,True
activeloopai/deeplake,30.0,5298.0,2019-08-09T06:17:59Z,"Data Lake for Deep Learning. Build, manage, query, version, & visualize datasets. Stream data real-time to PyTorch/TensorFlow. https://activeloop.ai ",Python,2203.0,64822.0,False,True
sony/nnabla-nas,14.0,36.0,2020-06-15T07:38:25Z,Neural Architecture Search for Neural Network Libraries,Python,914.0,175864.0,False,True
Ajyy/espnet,30.0,2.0,2022-04-24T05:27:44Z,,Python,14805.0,328762.0,False,True
minerva-ml/minerva-training-materials,8.0,44.0,2017-12-11T14:41:19Z,"Learn advanced data science on real-life, curated problems",Jupyter Notebook,103.0,68581.0,True,True
minerva-ml/minerva-training-materials,8.0,44.0,2017-12-11T14:41:19Z,"Learn advanced data science on real-life, curated problems",Jupyter Notebook,103.0,68581.0,True,True
openai/jukebox,7.0,6411.0,2020-04-29T17:16:12Z,"Code for the paper ""Jukebox: A Generative Model for Music""",Python,124.0,2810.0,False,True
EricCousineau-TRI/repro,3.0,21.0,2017-04-03T20:19:28Z,Simple area to test out concepts or try to reproduce isolated issues in Drake.,Jupyter Notebook,2233.0,12377.0,False,True
labmlai/labml,7.0,1298.0,2018-11-16T09:34:48Z,🔎 Monitor deep learning model training and hardware usage from your mobile phone 📱,Jupyter Notebook,1284.0,105086.0,False,True
labmlai/labml,7.0,1298.0,2018-11-16T09:34:48Z,🔎 Monitor deep learning model training and hardware usage from your mobile phone 📱,Jupyter Notebook,1284.0,105086.0,False,True
stared/livelossplot,15.0,1237.0,2018-03-10T17:51:43Z,"Live training loss plot in Jupyter Notebook for Keras, PyTorch and others",Python,330.0,1838.0,False,True
declare-lab/conv-emotion,8.0,1088.0,2018-10-31T23:54:41Z,This repo contains implementation of different architectures for emotion recognition in conversations.,Python,293.0,769355.0,False,True
Lightning-Universe/Training-Studio_app,17.0,14.0,2022-05-02T20:23:17Z,Lightning HPO & Training Studio App,Python,413.0,13098.0,True,True
awslabs/amazon-neptune-tools,27.0,262.0,2018-02-14T05:13:35Z,Tools and utilities to enable loading data and building graph applications with Amazon Neptune.,Java,428.0,2044.0,False,True
deepcam-cn/yolov5-face,13.0,1521.0,2021-04-26T06:55:59Z,YOLO5Face: Why Reinventing a Face Detector (https://arxiv.org/abs/2105.12931)       ECCV Workshops 2022),Python,131.0,10233.0,False,True
deepcam-cn/yolov5-face,13.0,1521.0,2021-04-26T06:55:59Z,YOLO5Face: Why Reinventing a Face Detector (https://arxiv.org/abs/2105.12931)       ECCV Workshops 2022),Python,131.0,10233.0,False,True
aCLImatise/BaseCamp,2.0,2.0,2020-05-07T15:28:08Z,A repository of bioinformatics tool definitions generated by aCLImatise,,139.0,524618.0,False,True
SamirMoustafa/auto-features-extraction-for-RL,6.0,2.0,2020-05-26T16:50:04Z,Features Extraction using Autoencoders for Reinforcement Learning Tasks,Jupyter Notebook,152.0,198432.0,False,True
freelunchtheorem/Conditional_Density_Estimation,4.0,153.0,2017-12-18T17:52:01Z,Package implementing various parametric and nonparametric methods for conditional density estimation,Python,698.0,10697.0,False,True
Raalsky/neptune-f1,3.0,2.0,2021-11-02T15:01:24Z,Neptune.ai integration for F1 2021 telemetry,Python,234.0,229.0,False,True
TomaszOdrzygozdz/gym-splendor,3.0,2.0,2019-10-11T23:52:27Z,The environment for the ,Python,306.0,12893.0,False,True
flyteorg/flytesnacks,30.0,52.0,2019-10-17T18:32:26Z,Flyte Documentation 📖,Jupyter Notebook,545.0,37944.0,False,True
Tessellate-Imaging/Monk_Object_Detection,13.0,565.0,2019-12-31T12:25:05Z,A one-stop repository for low-code easily-installable object detection pipelines.,Jupyter Notebook,772.0,267145.0,False,True
AHNU2019/mmcv_ROCM,30.0,3.0,2020-07-14T04:08:29Z,mmcv with AMD ROCM support.,Python,451.0,5917.0,False,True
BraunMichael/MultiResUNet-Keras-Dragonfly4.1,30.0,2.0,2020-04-28T17:41:04Z,Forked versions of MultiResUNet and Keras 2.3.1 for making a deep learning model compatible with Dragonfly 4.1,Python,5359.0,13578.0,False,True
A-Jacobson/shiba,2.0,2.0,2019-05-03T23:41:52Z,"A simple, flexible, pytorch training loop.",Python,106.0,4944.0,False,True
garyd203/flying-circus,2.0,6.0,2017-09-12T10:53:04Z,"A tool for describing AWS infrastructure as (Python) code, built on top of AWS Cloud Formation.",Python,494.0,1040.0,False,True
